id,genres,budget,status,title,voteAvg,voteCount,revenue,releaseDate,popularity,Opening_Weekend,Theatres,Sequel,Famous Cast,Famous Cast Scale
169917,"Crime, Drama, Mystery, Thriller",28000000,Released,A Walk Among the Tombstones,6.3,586,53181600,19-09-2014,3.701538,12758780,2712,0,1,8
49524,"Fantasy, Action, Comedy, Crime",130000000,Released,R.I.P.D.,5.3,668,61648500,19-07-2013,1.40629,12691415,2852,0,0,6
227156,"Drama, Science Fiction",25000000,Released,The Giver,6.4,597,66980456,11-08-2014,1.520347,12305016,3003,0,0,4
157547,Horror,5000000,Released,Oculus,6.2,378,44030246,03-04-2014,1.189082,12005402,2648,0,0,4
239678,"Drama, Comedy",19800000,Released,This Is Where I Leave You,6.5,271,41296320,19-09-2014,1.261806,11558149,2868,0,0,4
228194,Drama,22000000,Released,The Hundred-Foot Journey,7.3,227,88880821,08-08-2014,0.53425,10979290,2023,0,0,4
157353,"Thriller, Science Fiction, Drama, Mystery",100000000,Released,Transcendence,5.9,1148,103000000,17-04-2014,2.002811,10886386,3455,0,1,7
72710,"Action, Adventure, Romance, Science Fiction, Thriller",44000000,Released,The Host,5.9,1104,63327201,29-03-2013,0.83234,10600112,3202,0,0,4
242582,"Crime, Drama, Thriller",8500000,Released,Nightcrawler,7.6,1364,38697217,31-10-2014,7.813868,10441000,2766,0,1,8
76649,"Action, Adventure, History, Romance, Drama",130000000,Released,Pompeii,5.2,607,108550407,21-02-2014,1.457048,10340823,2658,0,0,5
239571,"Drama, Romance",26000000,Released,The Best of Me,7.3,282,35926213,17-10-2014,0.977214,10003827,2936,0,0,4
64686,"Action, Adventure, Fantasy",175000000,Released,47 Ronin,5.9,690,150962475,25-12-2013,1.994211,9910310,2689,0,1,8
107846,"Action, Thriller",50000000,Released,Escape Plan,6.7,810,122915111,13-11-2013,3.256852,9885732,2883,0,1,8
184346,"Thriller, Crime, Horror",30,Released,Deliver Us from Evil,6,354,30577122,02-07-2014,0.831874,9740471,3049,0,0,4
254473,"Action, Crime, Drama",28000000,Released,Brick Mansions,5.7,351,68896829,23-04-2014,1.352998,9516855,2647,0,0,4
